,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24
Gen1,200,400,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455
Gen2,200,150,150,210,260,360,410,455,455,455,455,455,455,455,455,310,260,360,415,455,455,455,425,345
Gen3,100,78,101,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,100,0,0,0
Gen4,100,97,119,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,100,0,0,0
Gen5,100,25,25,25,25,25,25,30,85,162,162,162,162,85,30,25,25,25,45,145,135,100,0,0
Gen6,0,0,0,0,0,0,0,0,20,33,73,80,33,20,0,0,0,0,0,50,20,65,20,0
Gen7,0,0,0,0,0,0,0,0,25,25,25,25,25,25,0,0,0,0,25,25,25,25,0,0
Gen8,0,0,0,0,0,0,0,0,0,10,10,43,0,0,0,0,0,0,0,10,10,0,0,0
Gen9,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
Gen10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
